 126: 92.165489, 522.575562 avg loss, 0.000000 rate, 5.643000 seconds, 8064 images
 127: 83.153877, 478.633392 avg loss, 0.000000 rate, 5.638000 seconds, 8128 images
 128: 76.919724, 438.462036 avg loss, 0.000000 rate, 5.646000 seconds, 8192 images
 129: 68.718010, 401.487640 avg loss, 0.000000 rate, 5.642000 seconds, 8256 images
 130: 63.318665, 367.670746 avg loss, 0.000000 rate, 5.644000 seconds, 8320 images
 131: 97.579002, 340.661560 avg loss, 0.000000 rate, 8.156000 seconds, 8384 images
 132: 91.484253, 315.743835 avg loss, 0.000000 rate, 8.165000 seconds, 8448 images
 133: 82.851059, 292.454559 avg loss, 0.000000 rate, 8.155000 seconds, 8512 images
 134: 76.711647, 270.880280 avg loss, 0.000000 rate, 8.156000 seconds, 8576 images
 135: 72.041069, 250.996353 avg loss, 0.000000 rate, 8.175000 seconds, 8640 images
 136: 63.145252, 232.211243 avg loss, 0.000000 rate, 8.149000 seconds, 8704 images
 137: 58.019798, 214.792099 avg loss, 0.000000 rate, 8.172000 seconds, 8768 images
 138: 51.987793, 198.511673 avg loss, 0.000000 rate, 8.153000 seconds, 8832 images
 139: 48.227196, 183.483231 avg loss, 0.000000 rate, 8.171000 seconds, 8896 images
 140: 45.342052, 169.669113 avg loss, 0.000000 rate, 8.152000 seconds, 8960 images
 141: 67.543648, 159.456573 avg loss, 0.000000 rate, 12.061000 seconds, 9024 images
 142: 62.843494, 149.795273 avg loss, 0.000000 rate, 12.093000 seconds, 9088 images
 143: 56.866608, 140.502411 avg loss, 0.000000 rate, 12.186000 seconds, 9152 images
 144: 50.664303, 131.518600 avg loss, 0.000000 rate, 12.139000 seconds, 9216 images
 145: 45.331223, 122.899864 avg loss, 0.000000 rate, 12.155000 seconds, 9280 images
 146: 42.021061, 114.811981 avg loss, 0.000000 rate, 12.124000 seconds, 9344 images
 147: 35.954994, 106.926285 avg loss, 0.000000 rate, 12.155000 seconds, 9408 images
 148: 33.475174, 99.581177 avg loss, 0.000000 rate, 12.093000 seconds, 9472 images
 149: 29.233311, 92.546387 avg loss, 0.000000 rate, 12.140000 seconds, 9536 images
 150: 26.833021, 85.975052 avg loss, 0.000001 rate, 12.109000 seconds, 9600 images
 151: 20.768934, 79.454437 avg loss, 0.000001 rate, 10.624000 seconds, 9664 images
 152: 20.183136, 73.527306 avg loss, 0.000001 rate, 10.703000 seconds, 9728 images
 153: 17.024103, 67.876984 avg loss, 0.000001 rate, 10.655000 seconds, 9792 images
 154: 16.783976, 62.767681 avg loss, 0.000001 rate, 10.625000 seconds, 9856 images
 155: 14.372132, 57.928127 avg loss, 0.000001 rate, 10.609000 seconds, 9920 images
 156: 14.840945, 53.619408 avg loss, 0.000001 rate, 10.672000 seconds, 9984 images
 157: 14.595057, 49.716972 avg loss, 0.000001 rate, 10.640000 seconds, 10048 images
 158: 12.663204, 46.011597 avg loss, 0.000001 rate, 10.687000 seconds, 10112 images
 159: 11.221716, 42.532608 avg loss, 0.000001 rate, 10.593000 seconds, 10176 images
 160: 10.628755, 39.342224 avg loss, 0.000001 rate, 10.656000 seconds, 10240 images
 161: 7.292132, 36.137215 avg loss, 0.000001 rate, 4.348000 seconds, 10304 images
 162: 7.007463, 33.224239 avg loss, 0.000001 rate, 4.343000 seconds, 10368 images
 163: 6.502010, 30.552017 avg loss, 0.000001 rate, 4.346000 seconds, 10432 images
 164: 6.447878, 28.141603 avg loss, 0.000001 rate, 4.355000 seconds, 10496 images
 165: 6.101710, 25.937614 avg loss, 0.000001 rate, 4.349000 seconds, 10560 images
 166: 5.015523, 23.845406 avg loss, 0.000001 rate, 4.353000 seconds, 10624 images
 167: 4.731443, 21.934010 avg loss, 0.000001 rate, 4.339000 seconds, 10688 images
 168: 4.907270, 20.231335 avg loss, 0.000001 rate, 4.360000 seconds, 10752 images
 169: 4.093186, 18.617519 avg loss, 0.000001 rate, 4.344000 seconds, 10816 images
 170: 4.555041, 17.211271 avg loss, 0.000001 rate, 4.346000 seconds, 10880 images
 171: 5.492300, 16.039373 avg loss, 0.000001 rate, 8.909000 seconds, 10944 images
 172: 6.188290, 15.054265 avg loss, 0.000001 rate, 8.915000 seconds, 11008 images
 173: 4.567758, 14.005614 avg loss, 0.000001 rate, 8.907000 seconds, 11072 images
 174: 5.330923, 13.138145 avg loss, 0.000001 rate, 8.896000 seconds, 11136 images
 175: 4.741782, 12.298509 avg loss, 0.000001 rate, 8.900000 seconds, 11200 images
 176: 4.826355, 11.551293 avg loss, 0.000001 rate, 8.907000 seconds, 11264 images
 177: 5.460467, 10.942211 avg loss, 0.000001 rate, 9.280000 seconds, 11328 images
 178: 4.565926, 10.304583 avg loss, 0.000001 rate, 9.035000 seconds, 11392 images
 179: 5.168929, 9.791018 avg loss, 0.000001 rate, 8.915000 seconds, 11456 images
 180: 4.850327, 9.296948 avg loss, 0.000001 rate, 8.926000 seconds, 11520 images
 181: 5.615826, 8.928836 avg loss, 0.000001 rate, 9.652000 seconds, 11584 images
 182: 4.103969, 8.446349 avg loss, 0.000001 rate, 9.628000 seconds, 11648 images
 183: 4.927805, 8.094495 avg loss, 0.000001 rate, 9.643000 seconds, 11712 images
 184: 4.541742, 7.739220 avg loss, 0.000001 rate, 9.647000 seconds, 11776 images
 185: 4.204839, 7.385782 avg loss, 0.000001 rate, 9.639000 seconds, 11840 images
 186: 4.006111, 7.047815 avg loss, 0.000001 rate, 9.625000 seconds, 11904 images
 187: 4.307233, 6.773757 avg loss, 0.000001 rate, 9.641000 seconds, 11968 images
 188: 3.095316, 6.405912 avg loss, 0.000001 rate, 9.630000 seconds, 12032 images
 189: 4.219571, 6.187278 avg loss, 0.000001 rate, 9.641000 seconds, 12096 images
 190: 3.918017, 5.960352 avg loss, 0.000001 rate, 9.625000 seconds, 12160 images
 191: 3.132395, 5.677556 avg loss, 0.000001 rate, 4.359000 seconds, 12224 images
 192: 3.594807, 5.469281 avg loss, 0.000001 rate, 4.344000 seconds, 12288 images
 193: 3.314912, 5.253844 avg loss, 0.000001 rate, 4.344000 seconds, 12352 images
 194: 2.985678, 5.027028 avg loss, 0.000001 rate, 4.337000 seconds, 12416 images
 195: 3.670164, 4.891341 avg loss, 0.000001 rate, 4.345000 seconds, 12480 images
 196: 3.271521, 4.729359 avg loss, 0.000001 rate, 4.342000 seconds, 12544 images
 197: 3.494688, 4.605892 avg loss, 0.000002 rate, 4.353000 seconds, 12608 images
 198: 3.146256, 4.459929 avg loss, 0.000002 rate, 4.344000 seconds, 12672 images
 199: 3.238367, 4.337772 avg loss, 0.000002 rate, 4.357000 seconds, 12736 images
 200: 2.861578, 4.190153 avg loss, 0.000002 rate, 4.341000 seconds, 12800 images
 201: 2.900232, 4.061161 avg loss, 0.000002 rate, 8.202000 seconds, 12864 images
 202: 2.724104, 3.927455 avg loss, 0.000002 rate, 8.171000 seconds, 12928 images
